"Account Name","Website","Industries Trade","Industries Other","Products Self Reported","HS Code","Target Markets","Keywords","Billing Zip/Postal Code"
"Axe Paxe, LLC","www.axepaxe.com","Manufacturing","Music / Retail","The AxePaxe is the world's first and only specially-designed guitar accessories case.","","Brazil; Canada; France; Germany; Italy; Mexico; United Kingdom; United States","music guitar picks strings organization clutter art manufacturing musicians musician rock and roll","30305"
"Banyan Hills Technologies","https://banyanhills.com/","Business Services; Technology","","Banyan Hills Technologies is an Internet of Things software company and a trusted partner for innovative software solutions. Our highly skilled team can help you launch, scale and secure a successful IoT implementation.","","Czech Republic; Denmark; France; Germany; Italy; Mexico; Netherlands; Saudi Arabia; Sweden; Taiwan; Turkey; United Kingdom; United States","Software, Internet of Things, IoT, business software, analytics, machine learning, automation, kiosks, sensors, m2m, IoT software, smart products, connectivity","30308"
"BeBe & Bella, LLC","www.bebeandbella.com","Healthcare","Beauty and Wellness","BeBe & Bella specialty is probiotic based patented skincare, both topicals and oral nutritional supplements and now vaginal suppositories-boric acid in a probiotic blend. Nutritional supplements manufactured in our FDA registered facility.","330499, 210690","Canada; Puerto Rico; Spain; United Kingdom","skincare, probiotic, night cream, anti-aging, microbiome, dryness, wrinkles, yeast infections, fine lines, essence, cleanse, tone, eye cream,facial,skincare kit, men, women, acne, eczema, rosacea, nutritional supplements, collagen, hyaluronic acid, vit E","30035"
"Black Mermaid's Bath & Body","www.blackmermaidsoaps.com","Consumer Products; Manufacturing","Beauty, Tourism, Retail","Black Mermaid’s Bath & Body offers plant-based, spa-quality products formulated for advanced, personalized skincare. Our company provides an alternative solution in clean, natural products for women & men with diverse skin types.","3304.99,3401.11","Bahamas, The; Costa Rica; Dominican Republic; Jamaica","skin care products, best moisturizer for dry skin, best moisturizer for oily skin. anti-aging cream, dark spot remover, best anti-aging cream, face wash for dry skin, natural skin care products, simple face wash, natural moisturizer, organic skin, beauty","30078"
"Blind Tiger Communications","www.blindtigercom.com","Business Services; Defense; Technology","Cyber Security, Security","For government, public & private companies who need wireless cyber defense against phones, & drones in vital areas such as airports, defense, prisons, ports, & corporations, we provided a self configuring, automated protection against unknown devices.","","Bahrain; Belgium; Brazil; Canada; Chile; Egypt; France; Germany; Oman; United Arab Emirates; United States","security, cyber security, cell, phone, drone, uas, lte, gsm, umts, 2G, 3G, 4G, mobile device, perimeter, protection, safety, web based,  defense, government, police, wifi, 2.4, prison, SCIF, government, corporate","30076"
"Bright Insights Global","www.brightinsightsglobal.com","Financial Technology","Financial Services","ESG innovation advisory services","","France; Ghana; Kenya","Financial Services,  ESG,  DEI, innovation advisory","30344"
"Canberra Corporation","www.canberracorp.com","Chemicals; Healthcare; Manufacturing","Cleaning and Janitorial Supplies","Manufacturer of all Cleaning and Maintenance Chemicals. Custom made and private labelling welcome.","3404, 38089410","Albania; Armenia; Bahrain; Bermuda; Brazil; Costa Rica; Cyprus; Dominica; Egypt; Ethiopia; Georgia; Haiti; Indonesia; Jamaica; Kazakhstan; Kuwait; Lebanon; Nigeria; Pakistan; United Arab Emirates; United Kingdom; Viet Nam","Floor Finish, Disinfectants, Bathroom Cleaners","30132"
"Chin-Up Strip","www.chinupstrip.com","E-commerce; Healthcare; Life Sciences; Medical Devices; Pharmaceuticals","We are registered WI. S Corp with Gwinnett County License since 2000","FDA Indications for Use 510(k) Number:	K040491 
Device Name: Chin-Up Strip

""The Chin-Up Strip supports the chin (mandible) during sleep, 
thereby promoting and enhancing nasal breathing by reducing 
mouth breathing, snoring and Cpap oral venting.”","3919.90.00","Australia; Canada; Denmark; Japan; Malaysia; Poland; Puerto Rico; Singapore; Sweden; Switzerland; United Kingdom","Primary mouth breathing, snoring, sleep apnea, sleep deprivation, dry mouth discomfort, ADHD, bleeding gums, gingivitis, sleepy driving issues, promoting primary nasal breathing world wide","30019"
"Commercial Fluid Power","www.commercialfluidpower.com","Agriculture Machinery; Manufacturing; Mining","","Commercial Fluid Power is a mill processor and distributor of steel honed tubing and a distributor of chrome plated bar serving the fluid power industry.","730439, 722860","","honed tubing, chrome bar, hydraulic cylinders, hydraulic repair","30165"
"Control Specialties","www.control-specialties.com","Energy; Manufacturing","OEM, Paper, Corrugators, Transportation,","Products include centrifugal and vacuum pumps, control valves, instrumentation, compressed air auxiliaries, pump and motor repairs, filtration, vibration monitors and controls.","","Canada; Mexico; United States","Piping products pertaining to steam, compressed air, water and vacuum utilities in manufacturing facilities.","30507"
"Crider Foods","http://criderfoods.com/","Food & Beverage","Canned Proteins","Crider Foods is the recognized global leader in the canned chicken market. Our unique and proprietary process provides the platform for development of innovative new products that are preferred by numerous Global Brand Partners.","05, 160210,160220,160231,160242","Chile; China; Colombia; Cuba; Dominica; Dominican Republic; Ecuador; El Salvador; Guatemala; Honduras; Hong Kong, (China); India; Mexico; New Zealand; Paraguay; Peru; Philippines; Puerto Rico; Uruguay","Canned, Chicken,Pork, Turkey,Beef,Ready to Eat, Commercially  sterile,shelf-stable,Halal, Kosher, Organic,All Natural","30464"
